Timestamp,What is your age?,What gender do you identify as?,What year are you?,What is your current standing GPA?,What is your approximate cumulative GPA as of Winter 2022?,What was your approximate GPA during the Winter 2022 quarter?,What was your approximate GPA for your first year at UCR?,How many units are you taking currently?,What class is making you fill out this survey?,Did you play on an organized sports team in high school?,Are you currently in a romantic relationship with another person?,"If you played sports, how many years did you play?",Do you currently have a job?,"If you played a sport, which sport(s) did you play? (Select all that apply)","How many STEM advanced classes did you take in high school (AP, IB, Honors, Dual-Enrollment, etc.)?","How many social studies/arts advanced classes did you take in high school (AP, IB, Honors, Dual-Enrollment, etc.)? ",How often do you procrastinate your homework/class projects?,Rate the importance of your education in your life on a scale of 1-5,Rate the enjoyment/fulfillment you receive from education on a scale of 1-5,How many hours do you study per week on average (not including time spent doing homework)?,Do you have test anxiety?,What is your preference when it comes to working with groups?,"Generally, how would you categorize your confidence in your classes?","Generally, how would you categorize your grade in this class?","Does helping others in a team increase your confidence? (not really, a little bit, a lot)","If so, did you meet through an online dating app or in person? (Dating app, In person, N/A)",Do you have a personal vehicle?,Do you work part-time?,How many hours in a typical week do you work?,What major is your significant other?,How often do you attend office hours?,How often do you attend lectures for your classes?,How often do you ask questions in your lectures?,Do you work on or off campus?,"How many extracurricular activities do you partake in? (Clubs/Fraternities, Teams, Sports, Jobs).",How many clubs are you part of?,How many hours per week do you spend on club work?,Do you have an officer position within a club?,,What major are you in?,,How many of those are academic clubs?,How many hours do you spend doing homework per week on average?,"On average, how often do you go to CS111/CS141/CS105 class per week in-person?","On average, how often do you go to CS111/CS141/CS105 lecture? (Again this is anonymous ðŸ˜‰)","If the class is hybrid, how often do you go to classes online?","When attending online classes, how much do you actively pay attention? ","If lecture recordings are posted, how often would you attend lecture?","If lecture recordings are not posted, how many in person lectures do you attend per week?",How much of an impact do you think class attendance should have on your grade?,How many social media platforms are you currently active on?,Are you a member of any professional social media sites? (ex: linkedin/glassdoor),,How often do you post on social media per week?,How many hours a day do you actively spend on social media?,How do you feel after using social media?,How do you feel after using social media?,What would you currently rate your level of imposter syndrome?,How do you feel you are doing this quarter?,"How many hours do you spend streaming videos in an average day? (YouTube, Netflix...)","How many hours do you play video games in an average day? (PC, console, phone...)",Are you a transfer student?,Do you preview course material before lecture(s)?,Do you form study groups with classmates?,How close do you sit to the front of class?,"If lecture recordings are posted, how often would you attend online lectures?","If lecture recordings are not posted, how many online lectures do you attend per week?","Last week, How many times did you use food delivery services (DoorDash, UberEats, Grubhub) in a week? (If youâ€™re unsure, check the order history on your app)","Last week, How much did you spend on food delivery services (DoorDash, UberEats, GrubHub) in a week?  (If youâ€™re unsure, check the order history on your app)","Last week, how would you rate your stress level on a scale from 1 to 5?",Do you live in a dorm?,"If you do not live in a dorm, how long does it take you to get to campus?","If you take part in extracurricular activities, how many of them are specific to BCOE?",Was your decision to to chose your major influenced by someone else?,Did you finish high school in the top 5% of your class?, Have your feelings of imposter syndrome increased or decreased between high school and your first quarter at UCR? ,Have your feelings of imposter syndrome increased or decreased between your first year at UCR and now?,Are there any specific types of classes that have added to your imposter syndrome?,Is it difficult for you to stay on top of your day to day tasks?,Do you plan your day out in great detail or do you just keep track of deadlines?,Do you often worry about unplanned events in the near future?,Do you often worry about unplanned events in the near future?,"Do you live with roommates, family, etc?","If you do not live in a dorm, how many people do you live with?",How many people do you share a room with?,How stressed are you because of where you live?,Do you have children?,How well are you able to concentrate on your studies in your current living situation?,"In the past 2 years, did you find yourself missing the in-person learning experience?",Do you enjoy the flexibility that comes with hybrid classes over in-person-only classes?,"Do you receive financial aid?  (scholarships, loans, grants, etc) ",How do you pay for school?,How many hours do you regularly sleep?,"On average, do you sleep less the night before an exam or assignment due date?",Does helping others in a team increase your confidence?,How would you best describe yourself?,Do you listen to music while studying/working?,,,"Does helping others in a team increase your confidence? (not really, a little bit, a lot)",Rate the importance of your education in your life on a scale of 1-5,Untitled Question
5/2/2022 12:50:41,21,Woman,Junior,,3.43,3.9,3.5,12,CS105,No,No,N/A,Yes,N/A,4,3,3,4,3,20,Sometimes,Alone,3,,,N/A,Yes,,20,n/a,2,5,2,On campus,1,1,5,No,,CSBA,,0,15,,4,4,4,5,,4,1,No,,0,3 - 4 hours,2,,5,1,5 or more hours,< 1hour,No,No,Yes,2,,,0,0,5,No,< 15 minutes,0,No,Yes,Increased,Increased,"CS010 series, CS100, etc., CS111, CS141, CS150, etc.",No,Keep track of deadlines,,5,,3,1,4,No,2,Yes,Yes,Yes,Family,7-8,4,3,Asian,No,,,,,
5/2/2022 13:37:49,20,Man,Sophomore,,3.81,3.75,3.9,14,CS111,Yes,Yes,4,Yes,Soccer,2,1,2,4,4,2,Sometimes,Alone,4,,,In person,Yes,,20,Hospitality,1,5,2,Off Campus,2,0,0,No,,Computer Science,,0,15,,5,1,4,2,,1,3,Yes,,2,1 - 2 hours,4,,4,3,< 1hour,3 - 4 hours,No,No,No,3,,,1,20,4,No,< 15 minutes,0,No,No,Decreased,Increased,"CS111, CS141, CS150, etc.",Yes,Keep track of deadlines,,2,,3,0,2,No,4,No,Yes,No,Family,7,2,5,"Hispanic, Latino or Spanish Origin",No,,,,,
5/2/2022 13:38:05,19,Man,Sophomore,,2.7,2.7,2.7,12,CS111,Yes,No,4,No,Swimming,6,5,3,4,2,20,No,All the above,3,,,N/A,Yes,,0,,2,5,4,N/A,2,1,2,No,,Computer science,,0,20,,5,1,2,3,,2,0,Yes,,0,< 1hour,2,,2,3,4 - 5 hours,1 - 2 hours,No,No,No,4,,,0,0,3,No,< 15 minutes,0,No,No,Increased,Increased,"CS111, CS141, CS150, etc.",Yes,Plan your day out in detail,,2,,1,1,2,No,1,Yes,No,Yes,Yourself,7,1,5,Coptic,No,,,,,
5/2/2022 13:39:48,20,Man,Junior,,3.9,3.9,3.9,17,CS105,Yes,No,1,Yes,Football,1,1,4,4,4,8,No,In groups,4,,,N/A,Yes,,10,,3,4,2,Off Campus,1,0,0,No,,Data Science ,,0,12,,4,3,2,3,,1,2,Yes,,1,1 - 2 hours,3,,2,4,1 - 2 hours,1 - 2 hours,Yes,No,Yes,3,,,2,$30,3,No,< 15 minutes,0,Combined effort,No,Increased,Increased,"Calculus/Physics, CS111, CS141, CS150, etc.",No,Keep track of deadlines,,2,,2,0,1,No,5,Yes,Yes,No,Family,7,2,4,Asian,No,,,,,
5/2/2022 13:42:48,21,Man,Junior,,3.4,3.4,3.4,150,CS111,No,No,N/A,No,table tennis,0,0,1,5,4,15,Sometimes,Alone,3,,,N/A,No,,0,0,1,5,1,N/A,0,0,0,No,,math,,0,15,,5,5,4,5,,5,5 +,No,,0,5 or more hours,5,,2,3,5 or more hours,1 - 2 hours,No,No,No,3,,,1,15,3,Yes,N/A,0,Combined effort,Yes,Decreased,Decreased,Calculus/Physics,No,Keep track of deadlines,,2,,0,2,4,No,2,No,Yes,Yes,Family,8,1,1,Asian,Yes,,,,,
5/2/2022 13:45:09,21,Man,Junior,,3.88,3.88,3.88,17,CS105,Yes,No,2,No,"Football, lacrosse",2,0,4,4,3,6,Yes,All the above,4,,,N/A,Yes,,N/A,N/A,3,5,2,N/A,1,0,0,No,,Data Science,,0,6,,5,3,4,5,,2,2,Yes,,0,1 - 2 hours,1,,3,3,3 - 4 hours,1 - 2 hours,Yes,No,Yes,4,,,1,25,4,No,< 15 minutes,0,Combined effort,Yes,Increased,Increased,"CS111, CS141, CS150, etc.",Yes,Keep track of deadlines,,3,,2,0,1,No,4,Yes,Yes,No,Family,6,4,5,White,Yes,,,,,
5/2/2022 13:45:52,27,Man,Junior,,3.44,3.4,3.44,16,CS105,Yes,No,2,Yes,Swim and water polo,0,0,3,5,4,10,No,Alone,3,,,Dating app,Yes,,10,Psychology,1,4,2,On campus,1,1,6,No,,Computer Science,,0,20,,4,2,1,2,,1,2,Yes,,1,3 - 4 hours,3,,4,2,3 - 4 hours,1 - 2 hours,Yes,No,Yes,3,,,2,40,5,No,< 15 minutes,0,I wasn't sure about the major at that time,No,Increased,Increased,"CS111, CS141, CS150, etc.",Yes,Keep track of deadlines,,3,,0,0,1,No,3,Yes,Yes,Yes,Financial aid,8,5,3,White,Yes,,,,,
5/2/2022 13:46:11,20,Man,Junior,,3.25,3.25,N/A,12,CS105,No,Yes,2,No,Volleyball,2,2,3,5,3,5,Yes,Partner,4,,,N/A,Yes,,N/A,Child Adolescent Development,2,5,2,N/A,2,1,0,No,,Data Science,,0,8,,5,3,3,5,,1,2,Yes,,0,1 - 2 hours,3,,3,3,1 - 2 hours,1 - 2 hours,Yes,No,No,4,,,0,0,3,No,< 15 minutes,0,No,No,Increased,Increased,"CS010 series, CS100, etc., CS111, CS141, CS150, etc.",No,Keep track of deadlines,,5,,3,0,1,No,5,Yes,Yes,Yes,Family,7,2,5,Asian,No,,,,,
5/2/2022 13:47:46,21,Man,Junior,,3.8,3.6,4,16,CS105,No,No,N/A,No,,1,0,2,4,1,20,Yes,All the above,2,,,N/A,No,,0,,3,4,4,N/A,0,0,0,No,,Computer Science,,0,20,,5,3,4,3,,2,2,No,,0,3 - 4 hours,3,,4,2,< 1hour,1 - 2 hours,No,No,No,4,,,0,0,3,No,< 15 minutes,,I wasn't sure about the major at that time,No,Increased,Increased,"Calculus/Physics, CS111, CS141, CS150, etc.",Yes,Keep track of deadlines,,5,,,1,1,No,2,Yes,Yes,No,Family,7,4,3,Asian,Yes,,,,,
5/2/2022 13:47:57,23,Man,Senior,,2.2,3,2.1,16,CS105,No,No,N/A,No,N/A,2,0,5,3,2,10,Yes,Alone,4,,,N/A,Yes,,N/A,N/A,1,5,1,N/A,N/A,0,0,No,,Computer Science,,0,6,,5,2,2,2,,3,1,Yes,,0,1 - 2 hours,2,,5,4,5 or more hours,4 - 5 hours,Yes,No,No,4,,,N/A,N/A,5,No,15 - 30 minutes,N/A,I wasn't sure about the major at that time,No,Increased,Increased,"Calculus/Physics, CS010 series, CS100, etc., CS061, CS120a/b, etc., CS111, CS141, CS150, etc.",Yes,Keep track of deadlines,,5,,3,0,3,No,4,Yes,Yes,Yes,Financial aid,5,5,4,"Hispanic, Latino or Spanish Origin",Yes,,,,,
5/2/2022 13:48:46,24,Man,Junior,,3.45,3.55,3.45,16,CS105,No,Yes,N/A,No,,1,0,2,4,2,0,Yes,Alone,2,,,In person,Yes,,0,English,1,5,1,N/A,0,0,n/a,No,,Computer Science,,n/a,6,,5,5,4,4,,1,3,Yes,,0,1 - 2 hours,4,,5,1,1 - 2 hours,4 - 5 hours,Yes,No,No,3,,,0,0,5,No,N/A,n/a,No,No,Increased,Increased,"Calculus/Physics, CS010 series, CS100, etc., CS061, CS120a/b, etc., CS111, CS141, CS150, etc.",No,Keep track of deadlines,,2,,3,0,1,No,5,No,Yes,Yes,Financial aid,7,3,2,Native Hawaiian or Other Pacific Islander,No,,,,,
5/2/2022 13:50:22,22,Man,Master's,,3.97,4,4,12,CS105,Yes,No,1,Yes,Soccer,10,4,2,5,4,1,No,Alone,5,,,N/A,No,,6,N/A,1,5,3,On campus,0,0,0,No,,Computer Science,,0,7,,5,5,2,5,,2,1,Yes,,2,1 - 2 hours,3,,3,5,4 - 5 hours,4 - 5 hours,No,No,No,3,,,0,0,3,No,< 15 minutes,0,No,Yes,Decreased,Decreased,"CS170, CS171",No,Keep track of deadlines,,2,,3,0,1,No,4,Yes,Yes,Yes,Family,8,2,4,White,No,,,,,
5/2/2022 13:50:37,22,Man,Junior,,3.65,4,3.65,16,CS105,No,No,N/A,No,esport,0,0,3,5,3,18,Sometimes,In groups,3,,,N/A,Yes,,0,N/A,1,5,1,N/A,1,0,0,No,,CS,,0,20,,5,5,3,5,,4,4,No,,0,3 - 4 hours,3,,4,3,< 1hour,< 1hour,Yes,No,No,4,,,2,25,4,No,15 - 30 minutes,0,"yes, by my friends",No,Increased,Increased,"CS010 series, CS100, etc., CS061, CS120a/b, etc., CS111, CS141, CS150, etc., Breadth courses",Yes,Keep track of deadlines,,4,,3,0,2,No,4,Yes,Yes,Yes,Financial aid,8,2,4,Asian,No,,,,,
5/2/2022 14:10:55,24,Man,Senior,,3,3,3.4,12,CS105,No,No,N/A,No,,0,0,5,4,3,0,Sometimes,Alone,3,,,N/A,Yes,,,,1,5,2,N/A,0,0,0,No,,Computer science,,,10,,5,3,3,4,,2,2,No,,0,1 - 2 hours,3,,3,4,1 - 2 hours,3 - 4 hours,Yes,No,No,4,,,1,25,4,No,45 - 60 minutes,,No,No,Increased,Increased,"CS111, CS141, CS150, etc.",Yes,Keep track of deadlines,,5,,2,0,3,No,5,No,Yes,No,Family,8,1,4,Asian,No,,,,,
5/2/2022 14:00:07,23,Man,Senior,,2.9,3.57,2.85,16,CS141,Yes,Yes,1,No,Track and Field,4,5,2,5,4,5,No,Alone,5,,,In person,No,,,Business,1,5,1,N/A,0,3,0,No,,Computational math,,2,14,,5,5,4,5,,3,1,No,,0,1 - 2 hours,3,,1,4,1 - 2 hours,< 1hour,No,No,No,4,,,3,60,3,No,15 - 30 minutes,0,"Yes, by my family",No,Decreased,Decreased,Breadth courses,No,Keep track of deadlines,,4,,4,1,5,No,2,No,Yes,No,Family,8,1,5,White,No,,,,,
5/2/2022 14:01:53,21,Man,Junior,,3.86,3.9,3.74,16,CS105,Yes,No,1,No,Track and Field,3,7,3,5,5,2,No,In groups,2,,,N/A,No,,N/A,N/A,1,4,1,N/A,2,1,0,Yes,,Computer Science,,1,15,,5,4,4,4,,1,3,Yes,,0,3 - 4 hours,3,,1,4,3 - 4 hours,4 - 5 hours,No,No,Yes,3,,,0,0,4,No,15 - 30 minutes,2,I don't know,No,Decreased,Decreased,CS180,No,Keep track of deadlines,,4,,1,0,2,No,4,Yes,Yes,No,Family,10,2,5,Asian,Yes,,,,,
5/2/2022 14:03:19,20,Man,Junior,,3.13,3,3.8,12,CS105,No,No,N/A,Yes,,9,0,4,5,4,4,Yes,All the above,3,,,N/A,Yes,,6,,2,5,2,On campus,3,2,1,No,,Computer Science,,2,8,,5,5,4,5,,3,2,Yes,,0,3 - 4 hours,4,,3,3,3 - 4 hours,1 - 2 hours,No,Yes,No,3,,,0,0,3,No,30 - 45 minutes,2,Combined effort,Yes,Increased,Increased,"CS111, CS141, CS150, etc.",Yes,Plan your day out in detail,,3,,7,0,3,No,4,No,Yes,Yes,Financial aid,8,2,4,Asian,Yes,,,,,
5/2/2022 14:06:47,22,Man,Junior,,3.92,3.5,3.77,19,CS141,Yes,No,4,Yes,"Baseball, Football",4,0,2,4,3,10,Sometimes,All the above,4,,,N/A,Yes,,12,,2,5,2,Off Campus,2,0,0,No,,CSBA,,0,20,,5,3,2,3,,1,5 +,Yes,,0,1 - 2 hours,3,,1,3,1 - 2 hours,< 1hour,Yes,Yes,Yes,3,,,4,$100,4,No,> 1 hour,1,No,No,Decreased,Decreased,"CS111, CS141, CS150, etc.",No,Keep track of deadlines,,1,,3,0,1,No,5,Yes,Yes,No,Family,5,1,5,White,Yes,,,,,
5/2/2022 14:07:52,22,Man,Senior,,3.3,3.3,3.4,20,CS105,No,Yes,2,No,"Basketball, Badminton ",,,3,4,4,5,Yes,Partner,3,,,Dating app,No,,0,Statistic,2,4,2,N/A,1,0,0,No,,Computer science,,0,6,,4,5,3,4,,3,3,Yes,,0,1 - 2 hours,4,,3,3,3 - 4 hours,1 - 2 hours,Yes,No,No,2,,,4,4,4,No,15 - 30 minutes,0,"Yes, by my family",Yes,Decreased,Decreased,"CS111, CS141, CS150, etc., Breadth courses",Yes,Plan your day out in detail,,4,,2,0,1,No,4,No,Yes,Yes,Family,7,4,4,Asian,No,,,,,
5/2/2022 14:16:24,26,Woman,Junior,,2.97,3.25,3.5,4,CS105,No,Yes,N/A,Yes,,1,3,5,4,2,5 hours,Yes,All the above,1,,,In person,Yes,,60 hours,N/A,1,3,1,Off Campus,2,0,0,No,,ENCS,,0,8 hours,,3,4,4,4,,1,5 +,Yes,,1,1 - 2 hours,3,,5,1,1 - 2 hours,3 - 4 hours,Yes,Yes,No,5,,,1,$45,5,No,30 - 45 minutes,1,"Yes, by my family",No,Increased,Increased,"CS111, CS141, CS150, etc., 120B",Yes,Keep track of deadlines,,5,,5,1,5,Yes,1,Yes,Yes,Yes,Financial aid,3 hours,1,4,Mixed,Yes,,,,,
